Jahr Monat Tag RSK SDK TMK TXK TNK
2020 01 01    0  0.117   3.7  4.5   1.9
2020 01 02    0  1.767   0.9  1.9  -0.1
2020 01 03  7.2      0     4    6   1.3
2020 01 04  3.5  2.183   4.8  5.7   1.6
2020 01 05  0.1   4.05   3.4    5   2.3
2020 01 06  1.7      0   4.5    5   4.1
2020 01 07  0.3      0   3.6  5.8   0.5
2020 01 08  0.2      0   6.4    8   4.7
2020 01 09  5.5      0   5.8  8.6     2
2020 01 10 12.4  0.017   7.2  9.7   4.6
2020 01 11  0.4  0.733   4.4  4.9   3.8
2020 01 12    8      0     5  6.5   4.4
2020 01 13    0  1.783   5.3  6.9   3.8
2020 01 14  3.7    0.1   6.1    9   3.4
2020 01 15    0    5.5  10.1 12.1   5.7
2020 01 16    0  3.033   5.4    7     4
2020 01 17  1.1  7.317   5.1  6.7   3.9
2020 01 18    0   3.85   5.2  6.5   4.1
2020 01 19    0  2.333   4.2  5.3   2.4
2020 01 20    0      0   4.3  5.5   1.4
2020 01 21  0.3  0.367   5.2    6   4.5
2020 01 22  0.1  4.383   5.3  6.4   3.7
2020 01 23  0.5      0     4    5   0.3
2020 01 24  0.1      0   3.9  4.3   3.1
2020 01 25    1      0   4.3  4.7   3.5
2020 01 26  0.1      0   2.1  3.5     1
2020 01 27  2.2      0   3.3  5.3   0.8
2020 01 28  2.3  0.117   4.9  6.2   3.5
2020 01 29  3.5      0   4.3  5.4   3.3
2020 01 30  5.4      0     5  6.1   2.6
2020 01 31  2.5  0.167   6.9  8.4   5.2
2020 02 01  0.4      0   8.8 10.2   6.8
2020 02 02    0  4.667   5.3    7   3.9
2020 02 03  2.9  0.117   4.8  6.4   3.6
2020 02 04  1.9  3.633   4.2  5.2   2.9
2020 02 05    0  7.733   3.4  4.8     1
2020 02 06    0      0   5.4  6.1   4.4
2020 02 07    0  0.033   4.7  5.8   3.9
2020 02 08    0  6.917     5  7.1   3.9
2020 02 09  5.3    2.5   7.6 11.3   4.6
2020 02 10  3.3  0.533   5.5  7.8   2.8
2020 02 11  3.9    0.2   3.3  4.4   0.3
2020 02 12  4.8  0.017   3.2  4.5   0.6
2020 02 13    1    4.5   3.8  5.1   2.2
2020 02 14    0  6.233   3.7  6.4   1.4
2020 02 15    0  4.483   5.5  8.6   2.2
2020 02 16  6.4      0   9.5 14.2   6.4
2020 02 17  0.4  6.833   7.4  9.3   5.6
2020 02 18  0.2  4.467   5.4  6.3   4.5
2020 02 19    1  2.917     5  6.4   3.3
2020 02 20  3.5  2.017   4.5  6.5   1.5
2020 02 21  0.1  6.783   5.6  6.9   4.4
2020 02 22  1.7  0.033   6.3  8.2   2.6
2020 02 23    3      0   4.7  5.9   3.5
2020 02 24  3.8   4.15   4.6  5.4   2.9
2020 02 25  0.2  3.383   5.1  7.8   2.9
2020 02 26  4.2    2.7   2.8  4.8     1
2020 02 27  1.9  1.517   2.2  4.2   0.5
2020 02 28  0.5   4.95   3.7  6.2     2
2020 02 29  0.9      0   4.6  8.7   2.4
2020 03 01    0   3.35   5.2  8.3   3.3
2020 03 02  2.4      4   4.6  6.6   3.8
2020 03 03  3.4      0   4.6  5.6   3.8
2020 03 04    0    4.5   4.1  6.4   2.3
2020 03 05    0  1.183   3.6  4.9   1.9
2020 03 06  4.6      0   4.3  5.1   3.5
2020 03 07    0    0.9   4.1  5.5   1.1
2020 03 08    0  2.017   5.2  8.4   0.8
2020 03 09    0  1.183   6.3  8.8   3.2
2020 03 10 10.9  0.533   5.5  8.9   3.1
2020 03 11  0.4 10.183   6.7  8.2     5
2020 03 12  1.5  5.617   6.5 10.3   2.9
2020 03 13  0.2  1.983   4.5  7.3   2.6
2020 03 14    0   11.4   3.3  5.5   1.3
2020 03 15    0  6.783   6.3 10.6   2.9
2020 03 16    0  2.917     7 10.4   3.4
2020 03 17    0    4.5   7.2 10.7   3.3
2020 03 18  1.2  0.217   8.3 10.5   6.6
2020 03 19    0  9.033     6  7.9   3.4
2020 03 20    0  4.083   5.1    7   2.5
2020 03 21    0 11.417   3.7  5.8   2.1
2020 03 22    0    9.7   2.9  5.3   1.5
2020 03 23    0 12.033   2.2    4   0.3
2020 03 24    0 11.483   3.4  6.4  -1.2
2020 03 25    0  10.25     4  6.7   1.4
2020 03 26    0 11.983   5.1  6.7   3.7
2020 03 27    0 11.717   5.6  7.6   3.8
2020 03 28  1.5 11.667   5.6  8.2   3.5
2020 03 29  0.4      8   3.2  5.2   1.2
2020 03 30  0.4   5.35   3.2  6.5     1
2020 03 31    0 11.817   2.7  5.2  -0.6
2020 04 01  0.2  0.967   5.3  6.8   3.8
2020 04 02  0.4  3.783   6.8 10.6   4.4
2020 04 03    0 10.683   5.5  7.7   3.8
2020 04 04    0  5.383   5.6  9.7   2.9
2020 04 05    0 12.783   6.9 11.4   2.8
2020 04 06    0 12.783   9.8 15.6   5.7
2020 04 07    0 11.933    10 13.1   7.4
2020 04 08    0 12.267     9 11.7   6.4
2020 04 09    0   10.6     8 10.2   4.7
2020 04 10    0   12.4   6.3  8.3   4.3
2020 04 11    0   10.7     7  9.6   4.2
2020 04 12    0 12.283  11.9   18   6.6
2020 04 13    0   10.9   5.7  7.7   3.5
2020 04 14    0  12.75     6  7.8   3.7
2020 04 15    0      9   8.2 11.3     6
2020 04 16    0     11   8.3 11.5   6.1
2020 04 17    0 13.683   7.3  9.8   5.3
2020 04 18    0   10.4   7.3 10.4   4.6
2020 04 19    0 14.083   7.3  9.7     5
2020 04 20    0 14.167   8.3 12.1   4.7
