Jahr Monat Tag RSK SDK TMK TXK TNK
2020 01 01    0      0   0.7   4.7  -1.2
2020 01 02  0.2      0   1.7   5.3  -0.2
2020 01 03  9.5      0   6.2   7.2   5.2
2020 01 04  1.1  1.583   6.2   7.3   4.9
2020 01 05    0      0   5.5   6.5   3.5
2020 01 06  0.5      0   5.3   5.9   3.7
2020 01 07  0.8  4.867     6   7.2   4.6
2020 01 08  0.7      0   7.8   9.7   6.7
2020 01 09  6.1      0   8.7  10.9     6
2020 01 10  0.7    0.3   7.2   9.9   5.8
2020 01 11  0.2      0   5.6   7.1     4
2020 01 12  4.8      0   6.7   8.5   5.2
2020 01 13  4.6  2.417   6.1     8     5
2020 01 14  4.2  2.667   8.9    11   7.3
2020 01 15  1.9      0     9  10.9   6.4
2020 01 16    0  3.167   6.7   7.9     5
2020 01 17    1  0.983   7.6   8.7   5.9
2020 01 18  7.1      0   5.5   6.6   3.7
2020 01 19  0.5  4.467   6.3   7.1     5
2020 01 20    0      0   5.8   6.8   4.7
2020 01 21  0.2    0.4   5.1   6.4   3.7
2020 01 22  0.1   2.65   6.2     7   5.3
2020 01 23    0  0.017   4.2   5.3   2.4
2020 01 24    0      0   3.7   4.3   3.1
2020 01 25    0      0   3.7   4.2   2.5
2020 01 26  1.4  0.233   3.3   6.1   0.1
2020 01 27    5      0   6.9     8     6
2020 01 28 10.8      0   5.4   6.6   3.8
2020 01 29  4.8    1.1   5.9   7.1   4.1
2020 01 30  0.4      0   7.3   8.8   5.9
2020 01 31  7.1  0.333   8.3   9.6   6.8
2020 02 01  0.1  0.683   9.1   9.9   7.6
2020 02 02  6.2      0   6.6   7.6   5.7
2020 02 03  0.4  0.333   7.6   8.3   6.4
2020 02 04  0.1  6.017   6.5   7.4   4.5
2020 02 05    0   5.25   5.8   7.2   4.8
2020 02 06    0      0   6.6   7.2   6.2
2020 02 07    0  2.467   5.7     7   3.3
2020 02 08  0.8  1.183   5.1   8.1   2.1
2020 02 09 14.4      0   8.3  10.1     6
2020 02 10  1.2  2.633   6.9   8.8   3.3
2020 02 11  5.3  0.317   5.7   6.4   3.3
2020 02 12    1   1.85   5.8   6.4   2.8
2020 02 13  5.8      0   3.7   5.5   2.1
2020 02 14    0    0.8   5.8   6.9   4.8
2020 02 15    0      0   8.6  11.2   6.6
2020 02 16 17.7      0   9.9  11.5   7.3
2020 02 17  0.8    5.9   7.7     9   6.9
2020 02 18  0.9  3.583   6.9   7.8   3.4
2020 02 19  0.6   2.45     6   7.5   4.5
2020 02 20  1.1      0   6.9   8.9   5.1
2020 02 21  1.4   1.45   7.1   8.1   4.5
2020 02 22  0.9      0   8.2   9.2   6.9
2020 02 23  2.3  0.033   6.3   7.9   4.9
2020 02 24 16.5      0   5.8   9.5   0.3
2020 02 25  3.2  2.567   5.7   7.4   3.9
2020 02 26  1.7  3.883   4.6   6.2   3.5
2020 02 27  0.8      0   3.9   5.7   2.5
2020 02 28 13.5    6.1   5.2   7.2   0.5
2020 02 29  1.7  1.817   7.6  12.2   2.5
2020 03 01  1.7  5.017   6.1   7.9   3.6
2020 03 02  6.3  1.383   5.3   7.3   3.3
2020 03 03    0  8.083   5.8   7.6   4.2
2020 03 04  0.3  4.617   5.3   7.7   2.9
2020 03 05    0  6.283   4.8   7.8   1.8
2020 03 06  2.3      0   5.5   6.1   4.7
2020 03 07    0  7.633   6.9   9.1   5.2
2020 03 08  4.5  0.033     8   8.9   6.9
2020 03 09  5.7  4.883   7.2   8.7   6.5
2020 03 10  6.1      0   8.3  10.5   5.4
2020 03 11    0  9.683   8.7  10.9     7
2020 03 12  1.3    6.6   7.6    10   4.5
2020 03 13  0.8  5.767   6.3   7.8   4.3
2020 03 14    0   9.55   6.2   9.9   2.3
2020 03 15    0  1.417     9  12.2   7.2
2020 03 16    0   8.75   7.8   9.5     6
2020 03 17  0.1  0.867   8.1  10.2   5.9
2020 03 18  4.6      0   8.2   9.6   6.1
2020 03 19    0  2.717   7.1   8.7     6
2020 03 20    0  3.283   6.7   7.7     5
2020 03 21    0  9.417   4.8   7.3   2.1
2020 03 22    0 11.967   3.5   7.1  -0.1
2020 03 23    0 11.783   3.9   8.9  -0.8
2020 03 24    0  10.75   5.1    10   0.4
2020 03 25    0  11.85   5.5  10.4   0.9
2020 03 26    0  11.85   5.7   9.3   1.6
2020 03 27    0   11.6   6.8   8.6   4.8
2020 03 28    0    9.6   6.5   7.8   5.5
2020 03 29  0.3  9.967   4.6   6.4   3.6
2020 03 30    0  6.717   5.7   7.4   2.4
2020 03 31  0.2 12.167   4.6   6.6   1.7
2020 04 01  0.1  2.183   6.4   8.5   4.8
2020 04 02  0.1  5.433   7.4   9.8   5.5
2020 04 03    0   8.45   6.5   8.2   5.3
2020 04 04    0   10.7   8.2  13.4   4.7
2020 04 05    0 12.683  11.6  18.6     5
2020 04 06  0.4 10.917  12.7  22.8   7.9
2020 04 07    0 12.217   9.2  12.6   7.6
2020 04 08    0 11.983  10.4  15.3   8.1
2020 04 09    0  7.067   8.7  12.4   6.4
2020 04 10    0   11.1   6.9   8.9   5.4
2020 04 11    0 11.733   9.5  13.9   4.9
2020 04 12    0 11.083  10.7  13.4   8.2
2020 04 13  0.2  7.767   6.6   8.4   4.6
2020 04 14  0.1    5.7   6.6   8.1   5.2
2020 04 15    0 13.183   8.7  11.2   6.6
2020 04 16    0 12.283   8.7  12.6   7.1
2020 04 17    0 12.067   7.4     9   6.4
2020 04 18    0 13.567   9.5  11.9   5.8
2020 04 19    0 13.833   9.4  11.9   6.9
2020 04 20    0 13.933   9.6  13.9   5.5
2020 04 21    0     14  10.8  14.2   7.5
2020 04 22    0     14    11  14.2   7.8
2020 04 23    0 12.633  11.6  16.9   7.9
2020 04 24    0      5   8.9  10.5   7.7
2020 04 25    0  8.183   8.7  10.4   7.7
2020 04 26    0  5.967   8.3  10.3   7.2
2020 04 27    0   10.8  10.5  15.5   6.9
2020 04 28  7.2  0.583   8.5  10.5   7.2
2020 04 29    3      1   9.1  10.7   7.3
2020 04 30  2.2  8.067  10.5    13   8.3
2020 05 01   10  3.117   9.7    12   8.1
2020 05 02  0.3   5.55   9.9  11.5   8.5
2020 05 03    0  8.667   9.9  11.9   8.6
2020 05 04    0 11.817   9.4  11.1   8.1
2020 05 05    0  13.25     9  10.5   7.7
2020 05 06    0 14.967   9.4  11.3   8.3
2020 05 07    0   10.4   9.9  11.7     8
2020 05 08    0  12.55  12.9  17.2   8.2
2020 05 09    0 11.417  12.3  15.8   9.2
2020 05 10    0  5.833    10    14   7.3
2020 05 11    0  9.917   7.9   9.4   5.8
2020 05 12  0.7    5.6   8.6  11.2     6
2020 05 13    0  9.567   8.2  10.2   6.9
2020 05 14    0   12.6   8.1   9.7   7.2
2020 05 15    0   7.95   9.9  12.3   7.5
2020 05 16    0  7.383  11.2  14.8   9.5
2020 05 17    0 13.183  12.5  15.5   9.4
2020 05 18  0.1  3.467    13  15.5  11.9
2020 05 19  0.1  4.017    13  14.8  11.9
2020 05 20    0  7.417  12.4  15.3    10
2020 05 21    0   13.6  14.8  18.6  10.5
2020 05 22  8.9  2.967  16.5  19.4  14.2
2020 05 23  0.1 10.617  14.5  16.3  13.6
2020 05 24    0  8.783  13.4  14.6  12.2
2020 05 25    0  4.733  11.7  13.1  10.5
2020 05 26    0 11.083    12  14.5    10
2020 05 27    0  8.367  12.4  14.3  10.9
2020 05 28    0 15.433  11.8  13.3  10.3
2020 05 29    0   14.8  12.4  14.6   9.9
2020 05 30    0 15.617  14.7  17.2  12.1
2020 05 31    0 12.183  15.2  17.1  12.4
2020 06 01    0 12.533  15.8  19.1  12.6
2020 06 02    0 13.733  17.7  22.5  13.8
2020 06 03    0   6.65  15.8  18.1  13.9
2020 06 04    6  0.367  12.9  14.2  11.3
2020 06 05 10.5  2.033    11  13.3   8.9
2020 06 06  0.2  6.183  11.9    15   8.7
2020 06 07    0  9.833  12.9  14.7    11
2020 06 08    0 11.983  13.1  15.1  11.6
2020 06 09    0   12.1  12.5  14.3    11
2020 06 10  1.6  2.683  13.7  15.4  11.7
2020 06 11  8.7      0  14.7  16.3  13.4
2020 06 12    0  6.417  17.4  21.7  14.6
2020 06 13  0.1  4.833    18    22  15.9
2020 06 14    8      0  16.9  18.7  15.3
2020 06 15    0    7.2  16.6    19  15.3
2020 06 16    0  5.067  16.1  17.9  14.9
2020 06 17    0    7.7  15.7  19.3  12.8
2020 06 18  8.7  1.533  17.8  22.5  15.1
2020 06 19    0   11.3  17.1  19.2  15.1
2020 06 20    0 12.983  16.7  18.7  13.8
2020 06 21  0.6 11.117  18.5  25.3  13.9
2020 06 22    0 15.683  17.2  19.3  13.9
2020 06 23    0 15.783  17.5    21  13.2
2020 06 24    0 16.267  19.8  25.4  15.6
2020 06 25    0  15.45  21.2  23.8  17.8
2020 06 26    0 15.683  24.4  29.6  19.1
2020 06 27   16   5.25  20.8  25.6  17.3
2020 06 28  0.4  6.783  18.4  20.8  15.8
2020 06 29 10.6  5.967  16.4  19.4    14
2020 06 30  0.8  0.233  15.3  16.7  13.7
2020 07 01  0.4  6.317  17.1  21.7  14.6
2020 07 02    2   3.65  16.3  18.3  14.5
2020 07 03    0  2.583  16.8  19.4    14
2020 07 04  2.4      0  16.6  17.8  14.9
2020 07 05  6.5  2.733  17.4  19.6  13.4
2020 07 06  2.6  6.533  14.6  16.5  12.2
2020 07 07  4.2   2.75  14.4  16.3  13.1
2020 07 08  1.4  4.083  14.3  15.8  12.7
2020 07 09 22.7      0  13.1  14.8  11.4
2020 07 10  1.4  5.017  13.8  15.8    12
2020 07 11  0.2   12.4  15.3    17  13.7
2020 07 12    0 14.467  15.9    18  14.2
2020 07 13  1.8 13.217  17.4  21.1    14
2020 07 14  2.8  0.917    16  17.5  14.9
2020 07 15    0  5.833  15.9  17.9  13.1
2020 07 16    0  13.35  16.3  19.1  12.9
2020 07 17    0  9.367  18.1  20.1  15.8
2020 07 18  0.1  8.683  20.3  24.8  16.3
2020 07 19  0.6    4.7  18.8  21.1  14.4
2020 07 20    0 12.067  16.3  17.9  14.2
2020 07 21  0.1 10.233  16.5  18.6    15
2020 07 22    0  9.783    16  18.1  14.9
2020 07 23    0    1.2  17.8  21.6  14.6
2020 07 24    0  9.267  18.3  20.3  16.7
2020 07 25 17.8  1.833  18.3  22.1    16
2020 07 26  2.7 10.267  17.9  19.4  16.1
2020 07 27  1.4  0.417  17.7  20.7  14.9
2020 07 28  0.8  5.583  17.1  18.9  15.4
2020 07 29    0    6.5  16.3  17.8  14.8
2020 07 30    0  9.867  17.4    20  15.3
2020 07 31    0 14.633  19.1  22.8  14.7
2020 08 01    0  7.917  19.5  24.9  17.3
2020 08 02    4  8.083  17.8  20.1  16.3
2020 08 03  3.6  5.867  16.5  18.7  13.2
2020 08 04  0.1  9.067  16.3  18.2  13.1
2020 08 05    0 10.417  19.4  24.5  15.4
2020 08 06    0 12.717  20.4    24    18
2020 08 07    0  14.55  23.2  28.5  18.7
2020 08 08    0   9.65  23.1  28.9  19.8
2020 08 09    0 11.467  21.6  26.4  19.7
2020 08 10    0 13.733  23.1  26.3  20.1
2020 08 11    0   13.5  24.5  28.4  20.9
2020 08 12    0 13.183  24.8  30.6  20.3
2020 08 13  1.2 10.567  23.2  26.7  20.2
2020 08 14  4.2  3.667  21.1  22.8  19.3
2020 08 15    0 11.483  21.3  23.4  19.9
2020 08 16  6.2  8.733  22.8  26.3  19.8
2020 08 17  4.2   0.15  20.3    22  18.1
2020 08 18  2.2    7.8  19.6  22.5  17.6
2020 08 19    0  11.25  20.7  24.7    17
2020 08 20  2.2  4.433  22.5  25.9  19.7
2020 08 21    0  7.817  23.1  26.9  21.3
2020 08 22  3.5   6.55  20.1  22.2  17.2
2020 08 23 26.2  4.967    18  19.8  15.5
2020 08 24 10.8  1.933  16.6  19.5  15.2
2020 08 25 13.1  2.217  16.1  18.3  12.1
2020 08 26  4.3  4.083  17.8  19.8  15.8
2020 08 27  0.8  3.067  16.3    18  14.1
2020 08 28    6  2.867  16.1  20.3  13.7
2020 08 29  0.5  4.017  15.6  19.3    13
2020 08 30  0.1  9.883  16.2  19.7  12.7
2020 08 31    0    8.1  16.3  18.5  14.6
2020 09 01    0  11.85  16.3  19.1    13
2020 09 02    0  11.95  16.2  19.3  11.9
2020 09 03  8.6      0  15.4  17.8  13.9
2020 09 04    2    4.4  17.2  19.5  15.8
2020 09 05  1.2   7.55  15.5  17.6  13.1
2020 09 06  3.7  3.533  15.1  17.5  12.7
2020 09 07  0.5   7.45  16.3  18.6  14.3
2020 09 08  0.3    0.9  17.2  18.9  15.7
2020 09 09    1    1.3  17.4  18.5  15.9
2020 09 10    0    9.1  15.9  17.6  14.1
2020 09 11    0  6.567  15.8  18.4    14
2020 09 12  0.4  4.133  15.9    18  13.8
2020 09 13    0  8.283  16.9    21  13.5
2020 09 14    0 11.533  18.5  24.3  15.2
2020 09 15    0 10.383  19.8  22.9  16.6
2020 09 16    0    5.3  17.2  20.4  15.2
2020 09 17    0 10.517  14.9    17  11.7
2020 09 18    0   11.8  13.9  17.9   9.8
2020 09 19    0  10.25  15.3  19.4  11.9
2020 09 20    0 11.583  15.7  19.2  12.5
2020 09 21    0 11.617  15.6  20.2  11.8
2020 09 22    0  10.95  15.7  20.4  11.7
2020 09 23   12  6.817  16.6  20.7  13.8
2020 09 24  9.6    6.8  15.3  17.4  13.1
2020 09 25  0.1  6.333  12.2  14.1   9.9
2020 09 26  1.5   1.85  12.9  16.2   8.1
2020 09 27  2.8  0.133  14.3  16.9  12.7
2020 09 28  1.5      0  13.7  14.6  12.5
2020 09 29    1  0.117  13.1  15.9  11.4
2020 09 30  0.1  2.767  14.5  17.6  11.2
2020 10 01  3.6  0.733  14.5  17.1  11.9
2020 10 02    0  8.417  13.3  17.1   9.3
2020 10 03  7.9      0    14  15.7  10.5
2020 10 04  0.1   2.15  11.6  14.5   9.4
2020 10 05  2.6  3.517  11.7  14.3    10
2020 10 06  2.6  1.117  12.6  14.1  11.6
2020 10 07  6.2  3.017  12.9    15  11.5
2020 10 08 21.8      0  12.7  15.3    10
2020 10 09  5.8    5.6  12.4  14.6   9.9
2020 10 10  7.6  0.667   9.6  11.7   8.3
2020 10 11  8.8    0.7  11.4  13.2   9.3
2020 10 12    0  2.833  11.8    14   8.4
2020 10 13    0  7.433    10  13.9   7.5
2020 10 14    0   2.15  11.1  11.9  10.5
2020 10 15    0    0.8  10.3  11.4   9.1
2020 10 16  0.1  4.083   9.8  11.9   7.8
2020 10 17    0  3.633  10.3  12.1   7.8
2020 10 18  0.9  2.033  10.8    13   8.9
2020 10 19    0   2.95   9.9  11.8   8.6
2020 10 20  0.5      0    10  12.7     7
2020 10 21  4.6      0  13.6  16.6  12.2
2020 10 22    0  5.967  13.4  14.9  11.7
2020 10 23  1.2    4.1    12  13.5   9.6
2020 10 24  1.9  2.467  12.6  14.1  11.2
2020 10 25  1.3  0.033  12.3  14.7   9.6
2020 10 26    0  1.483  10.2  11.7   9.4
2020 10 27  2.3  3.483   9.9  11.2   8.7
2020 10 28    4   5.35  10.8  12.6   9.6
2020 10 29   13    2.4  10.5  12.1   7.9
2020 10 30  3.6      0    13  13.7  11.7
2020 10 31  1.6    0.1    13  13.7  12.1
2020 11 01  0.7  2.533  12.6  15.8  10.1
2020 11 02  0.5  0.233    15  17.3  11.9
2020 11 03  1.8  5.717  10.6  12.2   8.2
2020 11 04    1  5.417  10.4  11.9   8.6
2020 11 05  0.9  0.733  10.7  11.5   9.7
2020 11 06    0    0.1  10.6  12.1   8.2
2020 11 07    0   7.95   7.7  10.3   5.6
2020 11 08    0  7.733     9  12.2   7.2
2020 11 09    0  1.267   6.9   9.1   5.3
2020 11 10  0.2      0   5.2   5.6   4.8
2020 11 11    0      0     8  10.7   4.9
2020 11 12  1.1   1.95   9.9  11.3   8.4
2020 11 13  0.4  4.667     9    11   6.3
2020 11 14  0.2      0  10.4  12.5   8.5
2020 11 15  9.3  3.867  12.3  15.1   8.7
2020 11 16  3.3  0.067  10.1  11.6     9
2020 11 17    1      0  11.1  12.4     9
2020 11 18  2.2  3.733  11.7  12.8  10.5
2020 11 19  1.6  1.117   9.1  11.1   6.2
2020 11 20  0.9  3.633   7.3   9.2   5.4
2020 11 21  4.4      0   7.9   9.9   5.2
2020 11 22  1.9  1.733   9.6  10.7   7.2
2020 11 23    0  3.933   8.9  10.2   6.7
2020 11 24    0      1   7.8     9   5.8
2020 11 25    0  5.083     6   7.6   4.4
2020 11 26    0  3.817   8.3    10   5.5
2020 11 27    0  0.183   7.1   8.4   5.7
2020 11 28    0      0   4.3   6.3   1.2
2020 11 29    0  7.483   2.5   4.9     0
2020 11 30  7.5      0   2.3   5.9     1
2020 12 01  0.8  0.633   7.2   8.6   5.3
2020 12 02  0.4      0   4.2   5.3   3.7
2020 12 03  1.2      0   4.6   5.6   3.4
2020 12 04  1.8  1.367   4.5     7   3.1
2020 12 05  3.6  2.483   3.6   5.5   1.9
2020 12 06  5.2      0   4.5   6.4   1.6
2020 12 07  2.4      0   4.6   6.1   3.8
2020 12 08    0  0.033     4   4.9   2.3
2020 12 09    0      0   3.1   3.9   0.9
2020 12 10    0      0     2   3.1   0.8
2020 12 11    0  0.183   2.8   3.8   1.9
2020 12 12  0.5      0   3.2   4.3   2.2
2020 12 13  0.1      0     5   6.4   3.5
2020 12 14  5.2   0.15   7.3   9.2   5.1
2020 12 15  0.5      0   7.9   8.4   6.9
2020 12 16  0.9    3.6     7   8.8   5.2
2020 12 17    5  0.483   7.9   8.7   6.5
2020 12 18    0   2.55     7   8.5   5.4
2020 12 19    0  5.567   7.6   9.9   4.9
2020 12 20    0    0.9   7.9   8.7   6.6
2020 12 21 17.2  1.217   6.5   8.7   4.5
2020 12 22  1.7      1   7.9   9.9   5.7
2020 12 23 17.6      0   5.1   6.3   2.9
2020 12 24  0.6  0.167   6.3   7.3   5.3
2020 12 25  0.6   3.45   5.4   6.5   3.3
2020 12 26  0.7      0     5   5.9   4.2
2020 12 27  5.6      0   4.4   5.5   3.6
2020 12 28  1.5  0.433   3.4   4.6   1.6
2020 12 29 12.4      0   3.3   4.5   1.3
2020 12 30  3.4  0.033   4.5   5.6   3.8
2020 12 31  0.6   0.65   3.9   5.6   2.9
