"JAN" "FEB" "MAR" "APR" "MAI" "JUN" "JUL" "AUG" "SEP" "OKT" "NOV"
"FEB" "nicht signifikant voneinander unterschiedlich" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
"MAR" "nicht signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
"APR" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
"MAI" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
"JUN" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "NA" "NA" "NA" "NA" "NA" "NA"
"JUL" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "NA" "NA" "NA" "NA" "NA"
"AUG" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "NA" "NA" "NA" "NA"
"SEP" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "NA" "NA" "NA"
"OKT" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "NA" "NA"
"NOV" "nicht signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "NA"
"DEZ" "nicht signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "signifikant voneinander unterschiedlich" "nicht signifikant voneinander unterschiedlich"
